Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02122","Sheep","2019","2019","An","35863764","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02122","Sheep","2020","2020","An","38705279","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02122","Sheep","2021","2021","An","41771929","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5111","Stocks","02122","Sheep","2022","2022","An","45081553","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02122","Sheep","2019","2019","An","2123630","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02122","Sheep","2020","2020","An","1994034","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02122","Sheep","2021","2021","An","1912142","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02122","Sheep","2022","2022","An","1830249","I","Imputed value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02122","Sheep","2019","2019","An","163489822","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02122","Sheep","2020","2020","An","173095502","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02122","Sheep","2021","2021","An","186377000","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5111","Stocks","02122","Sheep","2022","2022","An","194030298","E","Estimated value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5111","Stocks","02122","Sheep","2019","2019","An","22","I","Imputed value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5111","Stocks","02122","Sheep","2020","2020","An","21","I","Imputed value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5111","Stocks","02122","Sheep","2021","2021","An","21","I","Imputed value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5111","Stocks","02122","Sheep","2022","2022","An","22","I","Imputed value",""
"QCL","Crops and livestock products","156","China, mainland","5111","Stocks","02122","Sheep","2019","2019","An","163489620","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5111","Stocks","02122","Sheep","2020","2020","An","173095300","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5111","Stocks","02122","Sheep","2021","2021","An","186376800","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5111","Stocks","02122","Sheep","2022","2022","An","194030100","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02122","Sheep","2019","2019","An","180","I","Imputed value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02122","Sheep","2020","2020","An","181","I","Imputed value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02122","Sheep","2021","2021","An","179","I","Imputed value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5111","Stocks","02122","Sheep","2022","2022","An","176","I","Imputed value",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02122","Sheep","2019","2019","An","1561197","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02122","Sheep","2020","2020","An","1779697","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02122","Sheep","2021","2021","An","1805877","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5111","Stocks","02122","Sheep","2022","2022","An","1819247","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02122","Sheep","2019","2019","An","25520","I","Imputed value",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02122","Sheep","2020","2020","An","25673","I","Imputed value",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02122","Sheep","2021","2021","An","25373","E","Estimated value",""
"QCL","Crops and livestock products","174","Comoros","5111","Stocks","02122","Sheep","2022","2022","An","25660","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02122","Sheep","2019","2019","An","125078","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02122","Sheep","2020","2020","An","125846","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02122","Sheep","2021","2021","An","126418","I","Imputed value",""
"QCL","Crops and livestock products","178","Congo","5111","Stocks","02122","Sheep","2022","2022","An","126990","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02122","Sheep","2019","2019","An","2854","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02122","Sheep","2020","2020","An","2855","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02122","Sheep","2021","2021","An","2864","I","Imputed value",""
"QCL","Crops and livestock products","188","Costa Rica","5111","Stocks","02122","Sheep","2022","2022","An","2873","I","Imputed value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02122","Sheep","2019","2019","An","2182087","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02122","Sheep","2020","2020","An","2262971","A","Official figure",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02122","Sheep","2021","2021","An","2344512","I","Imputed value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5111","Stocks","02122","Sheep","2022","2022","An","2271386","I","Imputed value",""
"QCL","Crops and livestock products","191","Croatia","5111","Stocks","02122","Sheep","2019","2019","An","658000","A","Official figure",""
